Date/Time,Base,Lat,Lon,Hour,Day,cluster_kmeans,Lat_original,Lon_original,hora,periodo,faixa_dia,faixa_lat,faixa_lon,distancia_media_5vizinhos,anomalia_distancia
2014-05-01 07:05:00,B02512,0.4382942326490635,0.331859535753761,0.3043478260869565,1,3,40.7739,-73.8715,7,manha,01-05,norte,leste,0.19130174196206345,False
2014-05-01 07:06:00,B02512,0.4117790811339219,0.2871779610577292,0.3043478260869565,1,3,40.7522,-73.9766,7,manha,01-05,centro_norte,centro_leste,0.1362467978973693,False
2014-05-01 07:07:00,B02512,0.3895405669599228,0.2752316979848643,0.3043478260869565,1,3,40.734,-74.0047,7,manha,01-05,centro_sul,oeste,0.11695917698668161,False
2014-05-01 07:09:00,B02512,0.4563782991202316,0.2867953405322652,0.3043478260869565,1,3,40.7887,-73.9775,7,manha,01-05,norte,centro_leste,0.140093012567924,False
2014-05-01 07:10:00,B02512,0.4530791788856305,0.297253634894993,0.3043478260869565,1,3,40.786,-73.9529,7,manha,01-05,norte,leste,0.1015134704768604,False
2014-05-01 07:12:00,B02512,0.4395161290322562,0.2990817107388821,0.3043478260869565,1,3,40.7749,-73.9486,7,manha,01-05,norte,leste,0.11769220594919343,False
2014-05-01 07:12:00,B02512,0.4227761485825994,0.277739988096247,0.3043478260869565,1,3,40.7612,-73.9988,7,manha,01-05,centro_norte,oeste,0.14172188382816187,False
2014-05-01 07:13:00,B02512,0.33321114369501,0.2791854434146721,0.3043478260869565,1,3,40.6879,-73.9954,7,manha,01-05,sul,centro_oeste,0.24776163223538158,False
2014-05-01 07:13:00,B02512,0.432062561094817,0.2950854519173553,0.3043478260869565,1,3,40.7688,-73.958,7,manha,01-05,norte,leste,0.12446981623853866,False
2014-05-01 07:13:00,B02512,0.3213587487780955,0.2874755547997623,0.3043478260869565,1,3,40.6782,-73.9759,7,manha,01-05,sul,centro_leste,0.28974279306083395,False
2014-05-01 07:15:00,B02512,0.4406158357771232,0.2947453447836068,0.3043478260869565,1,3,40.7758,-73.9588,7,manha,01-05,norte,leste,0.08371437191931493,False
2014-05-01 07:17:00,B02512,0.4373167155425221,0.2965734206274995,0.3043478260869565,1,3,40.7731,-73.9545,7,manha,01-05,norte,leste,0.1086898037480302,False
2014-05-01 07:17:00,B02512,0.3762218963831856,0.2810560326502838,0.3043478260869565,1,3,40.7231,-73.991,7,manha,01-05,sul,centro_oeste,0.11138626277063435,False
2014-05-01 07:17:00,B02512,0.4304740957966757,0.2804183317745057,0.3043478260869565,1,3,40.7675,-73.9925,7,manha,01-05,norte,centro_oeste,0.1936987342910802,False
2014-05-01 07:19:00,B02512,0.4382942326490635,0.2935974832072077,0.3043478260869565,1,3,40.7739,-73.9615,7,manha,01-05,norte,leste,0.09979466629702985,False
